Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
You are using the Azure CLI from a terminal to authenticate before managing Azure resources. Review the following statements about signing in with the Azure CLI: Which of the following statements are TRUE? (2 correct),multi-select,The command az login opens a browser window to sign in interactively.,TRUE. This is the official and most common method to authenticate interactively with Azure CLI.,You can authenticate to Azure CLI using service principals instead of interactive login.,TRUE. You can run commands like: az login --service-principal -u <appId> -p <password> --tenant <tenantId>. This is standard for automation pipelines.,The command az signin is the recommended way to log in interactively.,FALSE. There is no az signin command. Only az login is valid for interactive authentication.,The Azure CLI automatically logs you in using your Windows account without requiring any command.,FALSE. Azure CLI never logs you in automatically. Authentication must be performed explicitly.,,,,,"1,2","az login is the official way to sign into Azure CLI interactively; automation can authenticate using service principals, but CLI never logs in automatically.",Azure Architecture and Services
"Your organization must ensure its applications and data remain within a specific country due to regulatory requirements. At the same time, you want to place resources close to end users to minimize latency. Azure offers several concepts that help you select deployment locations with geographic boundaries. Which Azure concepts help you choose where your resources are deployed to meet data residency and latency requirements? (Select three that apply.)",multi-select,Azure Regions,Correct. Regions represent specific geographic locations where Azure resources can be deployed. Choosing the correct region ensures: data residency compliance and low latency for users in that area. This is the primary concept for deployment location.,Region Pairs,"Correct. Region pairs connect two regions within the same geography for: data residency guarantees, disaster recovery, and compliance requirements. Selecting an appropriate region pair helps ensure regulatory compliance within a country or geopolitical boundary.",Availability Zones,"Incorrect. Availability Zones provide high availability within a region, not location selection across countries. They help with resiliency, not data residency choice.",Geography (Geopolitical grouping of regions),"Correct. Azure divides the world into geographies like EU, US, Canada, India, etc. Using geographies ensures: data residency within a geopolitical boundary and compliance with local laws (like GDPR). This directly supports regulatory deployment decisions.",,,,,"1,2,4","To meet data residency laws and minimize latency, Azure uses Regions, Region Pairs, and Geographies—each helping you choose compliant deployment locations.",Azure Architecture and Services
Your team is reviewing different cloud service models to understand how much of the stack the customer must manage. Evaluate the following statements about customer responsibility in various cloud models: Which of the following statements are TRUE? (Select three that apply.),multi-select,"In IaaS, the customer is responsible for managing the operating system, patches, runtime, and applications.","TRUE. IaaS gives you virtual machines but you manage everything inside the VM, including: OS updates, runtime, application code, and security configurations.","In SaaS, the customer manages only application data and user access—not the infrastructure or OS.","TRUE. In SaaS, customers only manage: their data and user access. Everything else (app, OS, infrastructure) is provider-managed.","In PaaS, the cloud provider manages the OS and runtime environment, while the customer deploys and manages the application.","TRUE. In PaaS (e.g., App Service): the provider manages the OS, patching, runtime, scaling; the customer deploys the application code only.","In FaaS (serverless functions), the customer manages the underlying virtual machine hosting the function.","FALSE. In FaaS models like Azure Functions: customers do not manage virtual machines; Azure handles scaling, runtime, infrastructure; customers only manage the function code.",,,,,"1,2,3","IaaS places the most responsibility on the customer, PaaS reduces responsibility to application code, and SaaS offers the least responsibility—only data and access management.",Cloud Concepts
You are designing a production workload in Azure and want to maximize uptime for virtual machines. Azure provides different SLA guarantees depending on how VMs are deployed. Which of the following deployment strategies qualify for a higher SLA than a single VM? (Select three that apply.),multi-select,Deploying two or more VMs in an Availability Set,Correct. This increases uptime because VMs are placed across multiple fault and update domains. It qualifies for a higher SLA than a single VM.,Deploying two or more VMs across Availability Zones,Correct. This provides the highest VM SLA because each VM runs in a physically separate datacenter within the same region.,Using Azure Load Balancer with multiple VMs in an Availability Set,Correct. Combining load balancing with an Availability Set improves resiliency and ensures traffic continues even if one VM fails.,Running a single VM with Premium SSD storage,"Incorrect. Even with premium disks, a single VM does not qualify for the multi-VM SLA tier. Single VMs have a significantly lower uptime guarantee.",,,,,"1,2,3","Azure increases VM SLAs when you use redundancy—Availability Sets, Availability Zones, and load-balanced multi-VM deployments all improve uptime beyond single-VM guarantees.",Azure Architecture and Services
"Your organization is running a production application on Azure App Service (PaaS). Azure manages most of the platform, but the company still retains responsibilities related to security and application management. Which responsibilities belong to the customer when using Azure App Service? (Select three that apply.)",multi-select,Securing the application code against vulnerabilities,"Correct. In PaaS, Microsoft manages infrastructure, but code security (input validation, dependency updates, code vulnerabilities) is always the customer’s responsibility.","Managing secrets, connection strings, and app configuration securely","Correct. You must protect: API keys, connection strings, and credentials. Usually through Key Vault or App Service settings. Azure does not do this automatically.",Performing OS-level updates and patching for the App Service host,"Incorrect. Azure App Service (PaaS) fully manages OS patching, runtime updates, and platform maintenance. This is explicitly Microsoft’s responsibility.",Implementing proper authentication and authorization in the application,"Correct. Customers must configure: identity integration (Entra ID, OAuth, etc.), application-level authorization, and access controls. Azure provides tools, but you configure them.",,,,,"1,2,4","In PaaS (like App Service), Microsoft manages the platform and OS, but customers must secure their application code, secrets, and authentication/authorization.",Cloud Concepts
"Your organization must ingest, process, and analyze massive volumes of structured and unstructured IoT data in near real time. They need services that can scale to petabytes and provide analytics, streaming, or distributed processing capabilities. Which Azure services are appropriate for this scenario? (Select three that apply.)",multi-select,Azure Databricks,"Correct. Azure Databricks provides: distributed Apache Spark processing, large-scale analytics for petabyte data, both batch and near real-time capabilities. Perfect for IoT + big data workloads.",Azure Stream Analytics,"Correct. Designed specifically for real-time streaming analytics, including IoT: low-latency processing, device telemetry ingestion, real-time dashboards and alerts.",Azure Synapse Analytics (Spark Pools or Data Explorer Pools),"Correct. Synapse supports: massive distributed analytics (Spark, Data Explorer, SQL pools), both structured and unstructured data, near real-time ingestion with Data Explorer or Spark Streaming. Excellent for very large IoT analytics workloads.",Azure SQL Database,"Incorrect. Azure SQL Database: cannot handle petabyte-scale workloads, is not a distributed analytics engine, and is not suited for high-velocity IoT streaming ingestion. It's ideal for OLTP, not large-scale IoT analytics.",,,,,"1,2,3","For petabyte-scale, real-time IoT analytics, Azure’s distributed and streaming platforms—Databricks, Stream Analytics, and Synapse—are the correct architectural choices.",Azure Architecture and Services
"Your cloud governance team wants to enforce organizational standards automatically across Azure resources. They are evaluating which scenarios should use Azure Policy, rather than RBAC or manual processes. In which of the following scenarios is Azure Policy the recommended enforcement method? (Select three that apply.)",multi-select,Ensuring all resources are created only in approved Azure regions,Correct. Azure Policy can deny resource creation in unapproved locations. This is one of the most common governance uses.,Preventing deployment of disallowed virtual machine SKUs,"Correct. Azure Policy can enforce SKU restrictions, denying any VM that violates allowed SKUs.",Automatically auditing and reporting VMs that are missing required security patches,"Partially correct, but not preferred. Azure Policy Guest Configuration can audit patch state, but Update Management / Azure Automation is the proper enforcement tool. Policy is not the primary method for patch management.",Enforcing that all storage accounts must have secure transfer (HTTPS) enabled,"Correct. Azure Policy can ensure configuration settings (like HTTPS-only) are always applied. If non-compliant, Policy can block or remediate.",Granting Contributor access to a resource group only to certain users,"Incorrect. This is RBAC, not Policy. Azure Policy does not manage user access or permissions.",,,"1,2,4","Azure Policy is used to enforce configuration, compliance, and deployment rules, such as restricting SKUs, enforcing HTTPS, requiring tags, and limiting regions—not for identity management or prompting users.",Azure Management and Governance
Your finance team is evaluating Azure pricing options to reduce long-term cloud spend. Review the following statements to determine which ones are TRUE regarding Azure cost-saving commitments. Which of the following statements are TRUE? (Select two that apply.),multi-select,Azure Reserved VM Instances provide large discounts when you commit to a 1-year or 3-year usage term.,TRUE. Azure Reserved Instances typically offer up to 72% savings over PAYG pricing when committing to a long-term usage period.,Azure Hybrid Benefit lets you use existing on-premises licenses to reduce VM and SQL costs.,"TRUE. You can bring your Windows Server or SQL Server licenses to Azure, reducing VM/SQL operational cost significantly. This is a valid long-term cost optimization tool.",Spot Pricing guarantees capacity for your workload at a highly reduced rate.,"FALSE. Spot pricing does NOT guarantee capacity. Azure can evict workloads anytime capacity is needed, making it unsuitable for guaranteed workloads.",Pay-As-You-Go provides higher discounts than Reserved Instances when commitments are long term.,"FALSE. PAYG is the most expensive option for steady, always-running workloads. Reserved Instances offer steep discounts specifically for long-term usage.",,,,,"1,2",Azure offers steep discounts through: Reserved Instances (1–3 year commitments) and Hybrid Benefit (reuse existing licenses). Spot pricing and PAYG do not guarantee savings for predictable workloads.,Azure Architecture and Services
"A U.S. government agency is evaluating cloud platforms that meet FedRAMP High, DoD SRG, and other strict compliance requirements. They must use a cloud environment that is physically isolated, operated by screened U.S. personnel, and designed specifically for U.S. government workloads. Which Azure offering should the agency choose?",multiple-choice,Azure Government,"Azure Government is a dedicated cloud environment designed solely for: U.S. federal, state, local, and tribal government agencies, their approved solution providers, and contractors meeting U.S. government compliance requirements. It provides isolated datacenters, more stringent security controls, and compliance programs unavailable in the commercial cloud.",Azure Public Cloud,Incorrect. Commercial Azure regions do not meet the isolation and personnel screening requirements needed by U.S. government entities.,Azure Free Trial Environment,Incorrect. A trial environment cannot satisfy any government compliance or security requirements.,Azure Commercial Production Region,Incorrect. Even production-grade commercial regions lack required certifications and isolation.,,,,,1,"Azure Government is the correct option for U.S. government agencies and their contractors requiring enhanced compliance, isolation, and regulated workloads.",Cloud Concepts
"Your organization wants to ensure secure, private communication between virtual machines located in different subnets within the same Azure region. Public internet exposure must be avoided, and traffic should remain entirely within Azure’s private network fabric. Which Azure components can be used to enable secure, private communication between these VMs? (Select two that apply.)",multi-select,Virtual Network (VNet),"Correct. A VNet provides: private IP communication between subnets, isolation and segmentation, and built-in security boundaries. VMs in different subnets of the same VNet can communicate securely without ever touching the public internet.",Network Security Groups (NSGs),"Correct. NSGs: control inbound/outbound traffic, secure communication between subnets, and enforce least-privilege rules. They help ensure only allowed VMs/subnets can communicate.",ExpressRoute,"Incorrect. ExpressRoute provides private connectivity between on-premises and Azure, not between subnets inside Azure.",Public Load Balancer,"Incorrect. A public load balancer uses public IPs, which violates the requirement for private-only communication.",,,,,"1,2","For private, secure VM-to-VM communication within Azure, use a Virtual Network and Network Security Groups—not public-facing services.",Azure Architecture and Services
