Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which of the following statements correctly describe good practices when defining acceptance criteria for a user story in Acceptance Testing?,multiple-choice,Acceptance criteria should describe the technical design and implementation approach.,"Incorrect. Acceptance criteria describe what must be satisfied, not how it is implemented. Technical design belongs to solution design, not acceptance criteria.",Acceptance criteria should be written as detailed as possible to avoid any ambiguity.,"Incorrect. Overly detailed criteria reduce readability and collaboration. ISTQB emphasizes clarity and conciseness, not excessive detail.",Acceptance criteria should focus only on functional behavior and exclude all quality attributes.,"Incorrect. Acceptance criteria may include non-functional aspects (e.g., performance, usability) when relevant.","Acceptance criteria should be clear, testable, and expressed in a concise manner.",Correct. Aligns with ISTQB CT-AcT guidance for high-quality acceptance criteria and enables shared understanding between business and delivery team.,,,,,4,"Key Takeaway: ISTQB® CT-AcT expects acceptance criteria to be clear, concise, precise, and testable. They define what conditions must be met for acceptance and must avoid technical solution details.",Acceptance Tests and Experience Based Practices
Which of the following statements represent valid aspects of requirements engineering or related acceptance testing with respect to information security requirements?,multi-select,"Acceptance criteria for information security requirements should be defined in a measurable way and may address areas such as access control, data protection, and secure data handling.","Correct. Acceptance criteria must be testable and measurable, including for security requirements (authentication, authorization, privacy).","Information security considerations should be addressed during requirements elicitation and analysis, including threat and risk identification.","Correct. Security is an integral part of requirements engineering, supporting risk-based acceptance testing and early involvement.",Detailed technical security test scripts must be fully specified during requirements engineering to enable acceptance testing.,"Incorrect. Requirements engineering focuses on what must be achieved, not detailed test implementation or low-level scripts.","Execution of security-related acceptance tests is exclusively the responsibility of specialized security testers, independent of acceptance testing activities.",Incorrect. Acceptance testing is a collaborative activity involving business representatives; security experts may support but are not isolated.,,,,,"1,2","Key Takeaway: Security requirements are non-functional requirements that must be addressed early, supported by measurable acceptance criteria, and validated through collaborative testing.",Acceptance Testing for Non-Functional Requirements
Which of the following is a key benefit of using an Agile project management tool to support acceptance testing activities?,multiple-choice,It provides automatic root cause analysis of defects across all impacted business processes.,"Incorrect. Agile tools may visualize relationships, but they do not perform root cause analysis automatically. This is outside primary tool scope.","It supports linking acceptance tests to backlog items, enabling traceability between tests and requirements.","Correct. Traceability between user stories and acceptance tests is a core benefit, enabling transparency and validation of criteria coverage.",It replaces the need for defect management tools by handling the entire incident lifecycle.,"Incorrect. Agile tools may integrate with defect tracking, but they do not inherently replace full incident lifecycle management.",It ensures that acceptance tests are executed exclusively by business stakeholders without tester involvement.,Incorrect. Acceptance testing is a collaborative activity; tools facilitate collaboration but do not enforce role exclusivity.,,,,,2,"Key Takeaway: Agile project management tools add value primarily through traceability—linking user stories, acceptance criteria, and acceptance tests.",Collaborative Acceptance Testing
In which of the following approaches are acceptance test analysis and acceptance test design performed as an integral part of the requirements engineering process?,multiple-choice,Specification by Example (SBE),"Correct. Acceptance tests are derived collaboratively while defining requirements; examples serve as requirements, criteria, and tests simultaneously.",Tool-supported Test Management (TTM),Incorrect. Focuses on organizing and tracking tests; analysis and design occur outside the requirements definition phase.,Regression-focused Development (RFD),Incorrect. Emphasizes preventing regressions through frequent re-testing but does not integrate design into elicitation.,Exploratory Acceptance Testing (EAT),"Incorrect. Tests are designed dynamically during execution, not systematically as part of requirements engineering.",,,,,1,Key Takeaway: Approaches like Specification by Example (SBE) integrate acceptance test analysis and design directly into requirements engineering to ensure early validation.,Acceptance Tests and Experience Based Practices
"Which non-functional requirement category includes the sub-characteristics response time, throughput, and resource consumption, as defined in the ISO/IEC quality model and referenced by ISTQB® Acceptance Testing?",multiple-choice,Reliability,"Incorrect. Reliability focuses on system stability, availability, and fault tolerance, not response time or resource usage.",Maintainability,"Incorrect. Concerned with ease of modification and analysis (modularity, reusability), which is outside performance scope.",Performance efficiency,"Correct. Includes time behavior, resource utilization, and capacity. Directly aligned with ISO/IEC 25010 referenced by ISTQB.",Portability,"Incorrect. Focuses on adaptability and installability across environments, not runtime performance or capacity.",,,,,3,Key Takeaway: Performance Efficiency is the category that includes time behavior and resource utilization; these must be validated via measurable acceptance criteria.,Acceptance Testing for Non-Functional Requirements
Which of the following pairings of usability test approaches and their characteristic activities is correct according to ISTQB® Acceptance Testing guidance?,multiple-choice,Biometrics-based testing: Uses checklists and expert judgment to evaluate compliance with usability standards.,"Incorrect. Biometrics focus on physiological data (eye tracking, mouse movement). Checklists/judgment are not core biometric activities.",Expert review: Applies predefined checklists and heuristic principles to identify usability issues.,Correct. Expert reviews are conducted by specialists using techniques like heuristic evaluation and checklist-based inspections.,Walkthrough with think-aloud: Relies primarily on system log files and automated interaction metrics.,Incorrect. Walkthrough/think-aloud involves real users verbalizing actions. Log files are supplementary tool-based data.,Log file analysis: Requires test participants to verbally express their thoughts while using the system.,Incorrect. Log file analysis is based on recorded system events and navigation paths; no verbalization is required.,,,,,2,"Key Takeaway: In ISTQB® CT-AcT, expert reviews are specialist-led evaluations using checklists and heuristics, distinct from user-centered or biometric techniques.",Acceptance Testing for Non-Functional Requirements
Which of the following activities is a typical usage of a defect / incident management tool in the context of acceptance testing?,multiple-choice,Creating acceptance test cases directly from BPMN business process models,Incorrect. This is supported by model-based testing or test design tools; defect tools do not generate test cases.,"Tracking, prioritizing, and controlling defects throughout their lifecycle","Correct. This is the core purpose of defect/incident management tools, supporting transparency and communication between stakeholders.",Executing acceptance tests and recording test run results,Incorrect. This is the responsibility of test management tools; defect tools may link to results but do not manage execution.,Defining acceptance criteria collaboratively with business stakeholders,"Incorrect. Criteria definition is part of requirements engineering, whereas defect tools are used for tracking issues.",,,,,2,"Key Takeaway: In ISTQB® CT-AcT, a defect management tool is used strictly to manage the lifecycle of issues—reporting, prioritization, resolution, and closure.",Collaborative Acceptance Testing
"You are acting as an acceptance tester for a financial services application. During final acceptance testing, several critical defects are discovered shortly before the planned go-live date. According to ISTQB® Acceptance Testing principles, what is a possible and appropriate outcome of the acceptance decision?",multiple-choice,Proceed with the release and document the critical defects for resolution in a future version.,Incorrect. Releasing with known critical defects contradicts acceptance criteria and the purpose of validation.,Cancel the release permanently until a completely new system version is developed.,"Incorrect. ISTQB does not prescribe permanent cancellation; decisions focus on fixing, retesting, or postponing rollout.","Reject the system until the critical defects are resolved and successfully re-tested, leading to a postponed or alternative rollout.","Correct. This is a valid acceptance decision when criteria are not met, ensuring critical defects are verified before release.",Release the system to production but restrict customer access until defects are fixed.,Incorrect. This constitutes a release of a non-accepted system and is not a recognized ISTQB outcome.,,,,,3,"Key Takeaway: If critical defects exist, the correct ISTQB® CT-AcT outcome is to reject the system for fix and re-test, as acceptance testing directly influences the go/no-go decision.",Introduction and Foundations
Which of the following characteristics belong to the Quality in Use model as defined in ISO/IEC 25010 and referenced by ISTQB® Acceptance Testing?,multi-select,Effectiveness,Correct. Measures accuracy and completeness of goal achievement; a core characteristic of the ISO/IEC 25010 Quality in Use model.,Efficiency,"Correct. Describes resources expended (time, effort) in relation to goal achievement; a top-level characteristic.",Freedom from risk,"Correct. Addresses mitigation of risks related to economic loss, health, or safety; a top-level characteristic in the model.",User engagement,"Incorrect. Engagement is a sub-characteristic of Satisfaction, not a top-level characteristic of the Quality in Use model.",,,,,"1,2,3","Key Takeaway: The ISO/IEC 25010 Quality in Use model defines Effectiveness, Efficiency, Satisfaction, Freedom from Risk, and Context Coverage as top-level characteristics.",Acceptance Testing for Non-Functional Requirements
"During acceptance testing, a severe defect is detected in a core business function. To analyze the business impact of this defect, which of the following actions may be performed collaboratively by the business analyst and the tester?",multiple-choice,Review outdated business models to reassess the priority of the defect.,"Incorrect. Obsolete models do not reflect current behavior; analysis must be based on valid, current models.",Analyze the affected paths in the business process models where the defect occurs.,Correct. Exploring impacted paths in business process models helps assess consequences on operations and customer value.,Revisit all acceptance criteria and organize additional end-user training sessions.,Incorrect. Criteria review and training do not analyze the impact of a specific process disruption or defect.,Examine only the technical design diagrams to estimate downstream system failures.,Incorrect. Technical diagrams focus on system internals; acceptance testing prioritizes the business perspective.,,,,,2,"Key Takeaway: In ISTQB® CT-AcT, business impact analysis is performed by examining affected paths in business process models to understand operational consequences.",Business Process and Business Rules Modeling
