Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"During collaborative acceptance testing for a large business-critical system, several activities are performed by different roles. Which statement BEST describes the most effective collaboration between business analysts and testers to ensure acceptance tests remain aligned with stakeholder expectations throughout the lifecycle? ",multiple-choice,Business analysts and testers jointly refine acceptance criteria into testable conditions and review acceptance test cases to ensure traceability to business processes and risks.,Reflects collaborative acceptance testing principles. Ensures acceptance tests validate stakeholder needs and business processes. Supports risk-based prioritization of acceptance tests. Reference: Official CT-AcT syllabus — Collaborative Acceptance Testing & Acceptance Criteria.,"Business analysts define acceptance criteria and business rules, while testers independently translate them into acceptance tests to preserve objectivity and avoid bias.","Acceptance testing emphasizes shared understanding, not strict hand-offs. Independent translation risks misinterpretation of business intent. Classic exam trap: “independence” wrongly applied to acceptance testing.","Testers validate acceptance criteria with stakeholders, while business analysts focus on resolving defects found during acceptance test execution.",Business analysts remain accountable for business intent and stakeholder alignment. Defect resolution is not a primary responsibility of business analysts. Exam trap: incorrect role responsibility shift.,"Business analysts participate only until acceptance criteria are baselined, after which testers manage acceptance testing activities to avoid scope creep.","Collaboration continues during test design, execution, and evaluation. Acceptance testing is iterative and feedback-driven. Exam trap: waterfall-style phase separation.","Business analysts approve acceptance test results, while testers ensure technical correctness of acceptance tests without further business involvement.","Acceptance test results are evaluated against business needs, not technical correctness alone. Ongoing business involvement is essential. Exam trap: confusing acceptance testing with system testing.",,,1," In acceptance testing, business analysts and testers collaborate continuously. The strongest collaboration involves joint refinement of acceptance criteria, shared review of acceptance tests, and traceability to business processes and risks.",Collaborative Acceptance Testing
The ISO/IEC 25010 standard defines a quality in use model consisting of characteristics and their related sub-characteristics. Which element from the following list is defined as a sub-characteristic of quality in use in this model? ,multiple-choice,Context adaptability,ISO/IEC 25010 uses context coverage as a characteristic. Sub-characteristics under context coverage are context completeness and flexibility. Exam trap: plausible-sounding synonym not used by the standard.,Trust,Defined as a sub-characteristic of Satisfaction. Satisfaction is a quality in use characteristic. Trust reflects the degree to which users have confidence in the system. Reference: ISO/IEC 25010 — Quality in Use -> Satisfaction -> Trust.,Risk mitigation,"Not a sub-characteristic name in the standard. The correct sub-characteristics are: Economic risk mitigation, Health and safety risk mitigation, Environmental risk mitigation. Exam trap: generic umbrella term instead of exact ISO terminology.",Satisfaction,"Satisfaction is a quality in use characteristic, not a sub-characteristic. Sub-characteristics include trust, usefulness, pleasure, and comfort. Exam trap: confusing characteristic vs sub-characteristic level.",Context completeness,This is a sub-characteristic of Context coverage. Context coverage itself is a quality in use characteristic. Question asks for a sub-characteristic directly listed in the options. Exam trap: hierarchical misinterpretation.,,,2," In ISO/IEC 25010, quality in use is structured into characteristics and sub-characteristics. Satisfaction is a characteristic. Trust is a sub-characteristic of Satisfaction.",Acceptance Testing for NonFunctional Requirements
Which of the following statements BEST characterizes the use of biometrics-based techniques for usability testing within acceptance testing? ,multiple-choice,"Objective physiological data is collected from users during realistic interaction with the system to analyze attention, perception, and cognitive load without relying solely on subjective feedback.","Biometrics-based usability testing focuses on measuring user reactions, not opinions. Common measures include eye tracking, heart rate variability, skin conductance. Supports understanding what attracts attention or causes stress/confusion. Used as input to acceptance decisions, not as heuristic validation. Reference: Acceptance Testing for Nonfunctional Requirements – Usability techniques.",Users assess usability by rating predefined usability heuristics while biometric sensors confirm whether checklist results are correct.,"Heuristic evaluation is an expert-based technique, not biometrics-based. Biometrics do not “confirm” checklist correctness. Classic exam trap: mixing heuristic evaluation with biometric observation.",Domain experts perform usability walkthroughs using biometric tools while verbally explaining each interaction to validate usability rules.,"Think-aloud protocols are qualitative, not biometric techniques. Biometrics-based techniques rely on measured physiological data, not verbal explanation. Exam trap: combining think-aloud testing with biometrics incorrectly.",Users compare multiple systems by assigning qualitative usability scores that are automatically derived from biometric measurements alone.,"Biometrics do not directly generate qualitative usability ratings. Interpretation requires analysis and context, not automated scoring. Exam trap: overstating the capability of biometric data.",,,,,1," Biometrics-based usability testing in acceptance testing is about objectively measuring user reactions (attention, stress, perception) during realistic usage.",Acceptance Testing for NonFunctional Requirements
"A decision table is created using Decision Model and Notation (DMN) to determine an entitlement outcome based on three binary input checks (each can have the value 0 or 1). The decision logic is as follows: If the sum of the three inputs is 3, the result is Full entitlement; If the sum of the three inputs is 1 or 2, the result is Partial entitlement; If the sum of the three inputs is 0, the result is No entitlement. Which of the following DMN decision tables correctly represents this decision logic? ",multiple-choice,"A decision table with three input columns, one output column, hit policy UNIQUE, and rules explicitly covering all eight input combinations with results mapped to the sum-based outcomes.",DMN requires deterministic outcomes when modeling business rules. UNIQUE hit policy ensures exactly one rule matches for any valid input combination. Explicit coverage avoids ambiguity and improves traceability. Aligns with acceptance testing needs to validate business rules precisely. Reference: DMN standard as applied in business rules modeling for acceptance testing.,"A decision table with three input columns, one output column, hit policy FIRST, and rules ordered so that the first matching rule determines the entitlement.","FIRST relies on rule ordering, increasing risk of hidden logic errors. Acceptance testing favors explicit, unambiguous rule definitions. Exam trap: assuming rule order is acceptable for business-critical logic.","A decision table with one input column representing the calculated sum, one output column, hit policy ANY, and rules defining entitlement for each sum value.",DMN decision tables should not hide calculation logic implicitly. Summation must be modeled explicitly or via a separate decision. Exam trap: collapsing logic into a derived input without modeling it.,"A decision table with three input columns, two output columns, hit policy COLLECT, and entitlement derived by aggregating output values.",COLLECT is used when multiple rules may apply simultaneously. Entitlement outcome must be singular and deterministic. Exam trap: misuse of COLLECT for mutually exclusive outcomes.,"A decision table with one input column per grade, one output column, hit policy PRIORITY, relying on output priorities to determine the entitlement.",PRIORITY is used when multiple outputs may match and priority resolves conflicts. Business rules here are mutually exclusive and should not rely on priorities. Exam trap: confusing PRIORITY with UNIQUE for decision clarity.,,,1," For acceptance testing, DMN decision tables must be explicit, deterministic, and unambiguous. When modeling binary inputs with fixed outcomes, the UNIQUE hit policy with full rule coverage is the correct and exam-safe choice.",Business Process and Business Rules Modeling
"During requirements analysis for a product developed using an agile approach, acceptance tests are defined collaboratively upfront by business representatives, testers, and developers. These acceptance tests are then used as a shared understanding of expected behavior and guide subsequent development and validation activities. Which approach does this BEST describe? ",multiple-choice,Tool-driven evaluation (TDE),"Focuses on evaluating usability using tools, often late in the lifecycle. Does not emphasize early, collaborative creation of acceptance tests. Classic exam trap: confusing evaluation techniques with development approaches.",Acceptance Test-Driven Development (ATDD),"Acceptance tests are created collaboratively during requirements analysis. Involves business analysts, product owners, testers, and developers. Acceptance tests express business expectations in a testable form. These tests guide development and serve as acceptance criteria. Reference: Collaborative Acceptance Testing practices.",Behavior-Driven Development (BDD),"Focuses on specifying system behavior using structured language (e.g., Given–When–Then). While collaborative, its primary goal is behavior specification, not acceptance testing per se. Acceptance testing may use BDD syntax, but BDD is broader than acceptance test creation. Exam trap: assuming all Given–When–Then approaches are ATDD.",Test-Driven Development (TDD),Unit-level development technique. Tests are written by developers before code. Does not involve business stakeholders or acceptance-level tests. Exam trap: confusing acceptance tests with unit tests.,,,,,2, Acceptance Test-Driven Development (ATDD) is the approach where acceptance tests are collaboratively defined during requirements analysis by business and technical stakeholders.,Collaborative Acceptance Testing
"When acceptance test cases are designed as part of requirements definition activities, several effects on project risk and quality can be observed. Which of the following statements describes the MAIN advantage of this practice in acceptance testing? ",multiple-choice,"Potential ambiguities, inconsistencies, and gaps in requirements can be identified earlier, reducing the cost and effort of later corrections.",Designing test cases forces requirements to be precise and testable. Defects in requirements are detected before implementation begins. Early defect detection significantly lowers correction cost and project risk. Directly supports the Early Testing principle applied to acceptance testing. Reference: Acceptance criteria and acceptance test design practices.,Test execution activities can start earlier because acceptance tests are already available during requirements analysis.,"Acceptance tests are designed early, not executed early. Execution depends on system availability. Classic exam trap: confusing early test design with early test execution.",Detailed test planning becomes unnecessary because acceptance tests implicitly define the test strategy.,Test planning remains a distinct and necessary activity. Acceptance tests do not replace test strategy or planning. Exam trap: overestimating the scope of acceptance tests.,Responsibility for acceptance testing can be shifted from business stakeholders to testers due to early test availability.,"Acceptance testing remains a business-focused activity. Collaboration is increased, not shifted away from business roles. Exam trap: misunderstanding ownership in acceptance testing.",,,,,1," Designing acceptance test cases during requirements definition helps reveal requirement defects early, improving clarity and reducing downstream cost and risk.",Acceptance Tests and Experience Based Practices
You are defining acceptance tests for an elevator control system using the Given/When/Then format. The elevator has a maximum allowed load of 200 kg. Which of the following statements correctly applies Given / When / Then semantics to create a valid acceptance test? ,multiple-choice,"GIVEN the elevator doors are closed and the current load is 210 kg, WHEN a passenger enters the elevator, THEN the system prevents movement and displays a load limit warning.",Incorrect. GIVEN already violates system constraints (doors closed + passenger entering). Preconditions must describe a valid starting state. Classic exam trap: embedding impossible conditions in GIVEN.,"GIVEN the elevator is stationary at the ground floor, WHEN the load exceeds 200 kg, THEN the system displays a “maximum load exceeded” warning message.","Correct. GIVEN defines a clear, valid system state. WHEN describes a triggering event or condition change. THEN specifies a single, observable system behavior. Fully aligned with BDD acceptance test structure. Reference: Given/When/Then usage in acceptance testing.","GIVEN the load limit is configured as 200 kg, WHEN the elevator moves upward, THEN the elevator rejects additional passengers.","Incorrect. GIVEN describes configuration, not system state. WHEN does not represent a trigger relevant to load handling. THEN describes an action not directly linked to the WHEN. Exam trap: mixing configuration with behavior.","GIVEN a passenger presses the emergency button, WHEN the elevator load is greater than 200 kg, THEN the elevator remains on the current floor.","Incorrect. GIVEN incorrectly describes an event, not a precondition. Emergency behavior is unrelated to load constraint logic. Exam trap: swapping GIVEN and WHEN roles.","GIVEN the elevator load is greater than 200 kg, WHEN the elevator is on the ground floor, THEN the elevator doors remain open.","Incorrect. GIVEN states a condition that should result from a trigger. WHEN describes a static state, not an action or event. THEN outcome is not clearly specified by the load requirement. Exam trap: incorrect sequencing of Given/When.",,,2," In Given/When/Then acceptance tests: GIVEN -> valid initial system state; WHEN -> triggering event or condition change; THEN -> observable system response. Correct answers clearly separate state, trigger, and outcome.",Acceptance Tests and Experience Based Practices
"During acceptance testing for performance-related requirements, a model is selected to represent how users and transactions place load on the system over time. Which of the following models can be used to simulate workload behavior in performance testing? ",multiple-choice,Scenario-based,"Correct. A scenario-based model represents realistic user behavior and business workflows. Defines sequences of actions, transaction mixes, user concurrency, and timing. Commonly used to simulate real operational workload patterns. Supports acceptance testing by validating performance against business scenarios. Reference: Acceptance Testing for NonFunctional Requirements – Performance Testing.",Dynamic,"Incorrect. “Dynamic” is a generic descriptor, not a defined workload model. Does not specify how workload is constructed or simulated. Classic exam trap: plausible-sounding but non-standard terminology.",Transient,"Incorrect. Describes a system state or phase (e.g., startup, ramp-up), not a workload model. Transient behavior may be observed during tests, but it is not used to define workload. Exam trap: confusing test phases with workload modeling.",Unsteady state,"Incorrect. Refers to a condition where system load is changing. Used to describe test conditions, not to model user workload. Exam trap: mixing system state concepts with workload models.",,,,,1," In acceptance performance testing, scenario-based workload models are used to simulate how real users and business processes generate load.",Acceptance Testing for NonFunctional Requirements
"When defining UX (User Experience) requirements during acceptance testing, specific analytical pillars are applied to ensure that user goals, context, and interactions are properly understood. Which of the following represents one fundamental pillar used in UX requirements analysis?",multiple-choice,Content analysis,"Incorrect. Focuses on evaluating information structure and wording. Relevant to content quality, not a core UX requirements pillar. Does not analyze how users achieve goals through interaction. Exam trap: confusing UX analysis with content quality techniques.",Collaborative analysis,"Incorrect. Describes how stakeholders work together. Not a UX analysis pillar, but a working practice. Exam trap: mistaking collaboration methods for UX modeling techniques.",Story analysis,"Incorrect. User stories are artifacts, not UX analysis pillars. Stories may be input to UX work, but do not replace UX analysis techniques. Exam trap: assuming agile artifacts equal UX analysis models.",Task analysis,"Correct. Core UX analysis technique. Focuses on understanding user goals, tasks, and task sequences. Identifies usability and interaction requirements. Supports acceptance testing by defining what users must be able to do. Reference: UX Requirements Analysis – Acceptance Testing for NonFunctional Requirements.",,,,,4, Task analysis is a fundamental pillar of UX requirements analysis. Techniques that analyze tasks and interactions are correct.,Acceptance Testing for NonFunctional Requirements
"You are supporting the start of a new cross-functional project team in an organization where members have not worked together before. The project sponsor asks you to facilitate a workshop that will create a shared identity, common goals, and team cohesion early on, rather than focusing on risks or individual backgrounds. Which of the following workshops would fit this objective BEST? ",multiple-choice,"You ask the team to collaboratively create a shared visual artifact that represents their common values, objectives, responsibilities, and a unifying slogan for the project.",Correct. Establishes a common vision and shared identity. Encourages collaboration and joint ownership from the start. Builds trust and team spirit rather than focusing on problems. Aligns with facilitation techniques used in collaborative acceptance testing. Reference: Collaborative workshops for building shared understanding and team alignment.,You facilitate a workshop where the team identifies key project milestones on a timeline and discusses potential setbacks that could move the project backward.,"Incorrect. Focuses on planning and risk discussion, not team identity. More suitable for project tracking or risk workshops. Exam trap: confusing project management alignment with team cohesion.",You ask participants to individually list strengths and weaknesses of the organization and then consolidate them into a shared improvement backlog.,Incorrect. Emphasizes organizational critique rather than team bonding. Can create defensiveness instead of trust. Exam trap: SWOT-style analysis mistaken for team-building.,"You organize a session where each team member presents their professional background, previous roles, and personal achievements in detail.","Incorrect. Supports familiarity, but does not create a shared team vision. Focuses on individuals rather than collective goals. Exam trap: assuming introductions alone build team spirit.",,,,,1," To build common vision and team spirit, choose workshops that focus on shared values and collaborative creation, rather than risk or individual reporting.",Collaborative Acceptance Testing
