Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which of the following statements CORRECTLY describes the role of Acceptance Criteria in the testing process according to ISTQB® Acceptance Testing (CT-AcT)? ,multiple-choice,Acceptance criteria are defined only during detailed test case design to confirm implementation completeness.,"Acceptance criteria should be defined early, not only during test design. They guide development and testing, not just confirm completion. Classic ISTQB® CT-AcT trap: treating acceptance criteria as late test artifacts.",Acceptance criteria can be linked to requirements or user stories and may also originate from additional sources such as regulations or business rules.,"Acceptance criteria are not limited to user stories. They may be derived from business rules, standards, legal constraints, or quality attributes. Fully aligned with ISTQB® CT-AcT guidance on acceptance criteria sources.",Acceptance criteria are created exclusively by business analysts and then handed over to testers for execution.,"Acceptance criteria are defined collaboratively (business, testers, developers). Ownership is shared, not role-restricted. Exam trap: assuming strict role separation.",Acceptance criteria are optional and mainly used to support defect classification after testing.,"Acceptance criteria are mandatory for acceptance decisions. They define expected behavior, not defect categorization. Exam trap: misunderstanding the primary purpose of acceptance criteria.",,,,,2,"ISTQB® CT-AcT defines acceptance criteria as early, collaborative, and multi-sourced artifacts. They may relate to requirements or user stories and can also originate from business rules, regulations, or quality requirements. Any answer that restricts their timing, source, or ownership is incorrect.",Acceptance Tests and Experience Based Practices
"According to ISTQB® Acceptance Testing and business analysis principles, what is the FIRST thing a business analyst must understand before eliciting needs or requirements? ",multiple-choice,Business needs,Business needs are derived from business goals. Understanding needs without knowing the goals risks misalignment. Classic ISTQB® CT-AcT trap: starting analysis at the tactical level.,Product requirements,Product requirements describe solution details. They are defined after goals and needs are clear. Exam trap: confusing solution-focused artifacts with strategic understanding.,Business requirements,Business requirements specify what must be delivered to satisfy needs. They cannot be defined without first understanding goals. Exam trap: skipping strategic context.,Business goals,Business goals explain why change is needed. They drive business needs and all subsequent requirements. This is the top level in the ISTQB® business analysis hierarchy.,,,,,4,ISTQB® CT-AcT expects the hierarchy to start with Business Goals → Business Needs → Requirements. Any answer that does not begin with business goals is incorrect and represents a common exam trap.,Business Process and Business Rules Modeling
In which development and acceptance testing approach are requirements and acceptance criteria commonly specified using the “Given – When – Then” structure to ensure shared understanding between business and technical stakeholders? ,multiple-choice,Tool-driven Evaluation (TDE),TDE focuses on evaluating systems using tools and metrics. It does not define a structured natural-language format for requirements. Classic ISTQB® CT-AcT trap: confusing tool usage with specification techniques.,Test-Driven Development (TDD),TDD specifies behavior using unit tests written in code. It does not use the Given–When–Then format for requirements definition. Exam trap: mixing developer-level test practices with acceptance-level specification.,Behavior-Driven Development (BDD),"BDD uses Gherkin syntax with Given – When – Then. Scenarios serve as executable specifications and acceptance criteria. Promotes collaboration between business, testers, and developers. Explicitly referenced in ISTQB® Acceptance Testing (CT-AcT) syllabus.",Model-Based Development (MBD),"MBD focuses on creating abstract models (e.g., state or process models). It does not define requirements using Given–When–Then scenarios. Exam trap: assuming all model-based approaches use Gherkin-style language.",,,,,3,"In ISTQB® CT-AcT, Behavior-Driven Development (BDD) is the approach that defines requirements and acceptance criteria using the Given – When – Then format. Any option that does not explicitly support this structured natural-language syntax is incorrect.",Acceptance Tests and Experience Based Practices
Which type of test cases defines how acceptance criteria are verified in the context of ISTQB® Acceptance Testing (CT-AcT)? ,multiple-choice,Specification test cases,"Specifications describe what is required, not how verification is performed. They are inputs to test design, not the verification mechanism itself. Classic ISTQB® CT-AcT trap: confusing requirements/specifications with tests.",Acceptance test cases,"Acceptance test cases explicitly define how acceptance criteria are verified. They describe conditions, actions, and expected results aligned with acceptance criteria. Used to support acceptance decisions (accept, reject, conditional accept). Fully aligned with ISTQB® Acceptance Testing syllabus.",Functional test cases,"Functional test cases may verify system behavior. However, they are not necessarily tied to acceptance criteria. Acceptance testing is business-focused, not just functional correctness. Exam trap: assuming all functional tests are acceptance tests.",Requirements test cases,“Requirements test cases” is not a standard ISTQB test case classification. Verification is performed via acceptance or other test levels. Exam trap: selecting an intuitive but non-standard term.,,,,,2,"In ISTQB® CT-AcT, acceptance test cases define how acceptance criteria are verified. Specifications describe expectations, but acceptance test cases operationalize those expectations into verifiable checks used for acceptance decisions.",Acceptance Tests and Experience Based Practices
"According to ISTQB® Acceptance Testing (CT-AcT), what is the PRIMARY test basis from which acceptance test cases are derived? ",multiple-choice,From acceptance criteria defined for requirements or user stories,Acceptance criteria specify the conditions of acceptance. Acceptance test cases describe how those conditions are verified. This is explicitly stated in ISTQB® CT-AcT. Ensures traceability between business intent and acceptance testing.,From expected results documented in detailed test procedures,"Expected results are part of test cases, not the source for deriving them. This reverses the correct relationship. Classic ISTQB® CT-AcT trap: confusing test inputs with test outputs.",From UI mockups and prototypes,Mockups may support understanding and usability testing. They are not the primary test basis for acceptance test cases. Exam trap: assuming visual artifacts replace acceptance criteria.,From technical design specifications,Acceptance testing is business-focused and black-box. Technical design details are not used to derive acceptance tests. Exam trap: mixing solution design with acceptance testing.,,,,,1,"In ISTQB® CT-AcT, acceptance test cases are derived from acceptance criteria, not directly from requirements text, mockups, or expected results. Acceptance criteria bridge business intent and verifiable acceptance tests.",Acceptance Tests and Experience Based Practices
"What is a likely consequence when acceptance criteria and acceptance tests are derived from vague, ambiguous, or poorly defined requirements or user stories, according to ISTQB® Acceptance Testing (CT-AcT)? ",multiple-choice,Testers will rely on technical specifications to replace missing business intent.,"Acceptance testing is business-focused, not driven by technical design. Technical specs cannot replace unclear business intent. Classic ISTQB® CT-AcT trap: assuming solution details compensate for weak requirements.",Testers will make assumptions about stakeholder expectations and underlying business needs.,Ambiguous acceptance criteria force testers to guess intent. This increases the risk of validating the wrong behavior. ISTQB explicitly warns against ambiguity because it undermines acceptance decisions.,Testers will postpone acceptance testing until requirements are clarified.,"In practice, testing often proceeds under schedule pressure. Ambiguity leads to assumptions, not automatic postponement. Exam trap: choosing an idealized process response not stated by ISTQB.",Testers will automatically detect ambiguities during test execution without risk.,Ambiguities are often not obvious during execution. They surface as incorrect assumptions only after delivery. Exam trap: overestimating testing’s ability to compensate for poor requirements.,,,,,2,"ISTQB® CT-AcT stresses that unclear or ambiguous acceptance criteria lead testers to make assumptions about business needs and stakeholder expectations, significantly increasing acceptance risk.",Acceptance Tests and Experience Based Practices
Which of the following statements CORRECTLY describes the purpose of acceptance testing according to ISTQB® Acceptance Testing (CT-AcT)? ,multiple-choice,Acceptance testing is conducted to evaluate whether the system design complies with architectural standards.,"Design compliance is typically assessed during reviews or technical testing. Acceptance testing focuses on fitness for use, not internal design. Classic ISTQB® CT-AcT trap: confusing acceptance testing with design reviews.",Acceptance testing is performed to determine whether the system is ready to be released into the target environment.,Acceptance testing supports the go / no-go decision. It verifies that acceptance criteria are met from a business and user perspective. Explicitly stated in the ISTQB® Acceptance Testing syllabus.,Acceptance testing is executed to prove that the system is technically robust under extreme conditions.,"Robustness under extreme conditions is assessed via stress or robustness testing. These are non-functional test types, not the core purpose of acceptance testing. Exam trap: selecting a valid quality attribute but wrong test objective.",Acceptance testing is used to confirm that the system is stable enough for long-term operation.,"Long-term stability is typically assessed via reliability or endurance testing. Acceptance testing focuses on readiness, not prolonged operational stability. Exam trap: confusing operational testing with acceptance testing.",,,,,2,"ISTQB® CT-AcT defines acceptance testing as the activity that assesses whether the system is ready for deployment based on agreed acceptance criteria. It is not primarily about design correctness, robustness, or long-term stability.",Introduction and Foundations
Which of the following statements CORRECTLY describes acceptance criteria according to ISTQB® Acceptance Testing (CT-AcT)? ,multiple-choice,Acceptance criteria define what must be verified to confirm that a requirement or user story is correctly implemented.,"Acceptance criteria describe conditions of acceptance. They specify what to verify, not how the system is built. They are the basis for deriving acceptance test cases. Fully aligned with ISTQB® CT-AcT syllabus.","In Acceptance Test-Driven Development (ATDD), acceptance criteria completely replace acceptance tests.","In ATDD, acceptance criteria drive acceptance tests. They do not replace acceptance tests. Classic ISTQB® CT-AcT trap: confusing drivers with artifacts.",Acceptance criteria should be written only by business stakeholders to preserve tester independence.,Acceptance criteria are created collaboratively. Testers are actively involved to ensure testability and clarity. Exam trap: misapplying independence principles.,Acceptance criteria are applicable only in Agile environments and represent purely functional requirements.,Acceptance criteria apply in Agile and non-Agile contexts. They may cover functional and non-functional requirements. Exam trap: limiting acceptance criteria to Agile or functional scope.,,,,,1,"ISTQB® CT-AcT defines acceptance criteria as clear, testable conditions that specify what must be verified to confirm correct implementation of a requirement or user story. They do not replace tests, are not role-exclusive, and apply beyond Agile contexts.",Acceptance Tests and Experience Based Practices
"According to ISO/IEC 25010, which of the following elements is a sub-characteristic of Quality in Use? ",multiple-choice,Completeness,Completeness is a sub-characteristic of Effectiveness. Effectiveness is a Quality in Use characteristic in ISO/IEC 25010. Effectiveness is defined by accuracy and completeness with which users achieve goals. Explicitly aligned with ISO/IEC 25010 and ISTQB® Acceptance Testing references.,Maintainability,Maintainability is a Product Quality characteristic. It does not belong to the Quality in Use model. Classic ISTQB® CT-AcT trap: mixing product quality with quality in use.,Interoperability,Interoperability is a sub-characteristic of Compatibility. Compatibility belongs to the Product Quality model. Exam trap: selecting a valid ISO term from the wrong quality model.,Portability,Portability is a top-level Product Quality characteristic. It is not part of Quality in Use.,,,,,1,"In ISTQB® CT-AcT, Quality in Use focuses on how well users achieve goals in a real context. Effectiveness is a key Quality in Use characteristic, and its sub-characteristics include accuracy and completeness. Any answer belonging to Product Quality is incorrect.",Acceptance Tests and Experience Based Practices
"According to ISO/IEC 25010, which of the following is a sub-characteristic of Quality in Use as referenced in ISTQB® Acceptance Testing? ",multiple-choice,Resource utilization,"Resource utilization is a sub-characteristic of Performance Efficiency. Performance efficiency belongs to the Product Quality model, not Quality in Use. Classic ISTQB® CT-AcT trap: confusing product quality with quality in use.",Economic risk mitigation,Economic risk mitigation is a sub-characteristic of Freedom from Risk. Freedom from Risk is a Quality in Use characteristic. Addresses risks related to financial loss for users or organizations. Explicitly defined in ISO/IEC 25010 and referenced by ISTQB® CT-AcT.,Operability,"Operability is a sub-characteristic of Usability. Usability belongs to the Product Quality model, not Quality in Use. Exam trap: selecting a usability-related term in a Quality in Use question.",Context consistency,"Context consistency is not an ISO/IEC 25010 sub-characteristic. ISO defines context completeness, not consistency. Exam trap: choosing a plausible-sounding but non-standard term.",,,,,2,"In ISTQB® CT-AcT, Quality in Use includes the characteristic Freedom from Risk, whose sub-characteristics cover economic, health/safety, and environmental risk mitigation. Any option taken from Product Quality or invented terminology is incorrect.",Acceptance Testing for NonFunctional Requirements
