Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"An organization wants to ensure that Azure resources follow company standards such as allowed regions, mandatory tags, approved SKUs, and compliance requirements. They also want ongoing oversight to prevent configuration drift. Which Azure concept does this best represent?",multiple-choice,Monitoring and alerting of Azure services,"This is handled by Azure Monitor and Azure Service Health, which focus on visibility—not governance.","Governance through policies, standards, and controls","In Azure, governance is about: Defining rules, policies, and standards. Ensuring resources comply with organizational and regulatory requirements. Controlling who can do what, where resources can be deployed, and how they are configured. Using tools like Azure Policy, management groups, RBAC, and tags. This ensures Azure environments remain secure, compliant, and manageable at scale.",Automatic scaling of resources based on usage,"This describes scalability/elasticity, implemented using VM Scale Sets or App Service autoscale—not governance.",High availability across multiple regions,"High availability focuses on uptime and resiliency, not policy enforcement or control.",,,,,2,"Azure governance establishes policies, processes, and controls to manage resources consistently, securely, and in compliance with organizational standards.",Azure Management and Governance
"Your organization plans to establish a Site-to-Site VPN between its on-premises network and an Azure Virtual Network. Before configuring the VPN tunnel, a specific Azure resource must be deployed inside the virtual network. Which Azure resource is required to enable VPN connectivity?",multiple-choice,Azure Firewall,Provides network traffic filtering and security controls. Does not establish VPN tunnels.,Azure VPN Gateway,"An Azure VPN Gateway is required to: Terminate VPN connections (Site-to-Site or Point-to-Site). Encrypt and decrypt VPN traffic. Enable secure communication between Azure VNets and on-premises networks. Be deployed in a dedicated GatewaySubnet within the VNet. Without a VPN Gateway, a VPN connection cannot be established.",Azure Application Gateway,Used for web traffic load balancing and WAF protection. Not used for VPN connectivity.,Virtual Network Peering,Connects two Azure VNets privately. Does not support VPN connections to on-premises networks.,,,,,2,"To connect an Azure Virtual Network using a VPN, you must deploy an Azure VPN Gateway in the VNet.",Azure Management and Governance
"In Azure, Management Groups can be arranged in a hierarchical structure, where one Management Group can contain other Management Groups.",multiple-choice,TRUE,"Azure Management Groups are designed to support hierarchy and inheritance, which means: Management Groups can be nested inside other Management Groups. This allows organizations to create multi-level governance structures. Policies and RBAC assignments applied at a parent Management Group are inherited by child Management Groups and subscriptions. Example hierarchy: Root Management Group > Corporate Management Group > Finance Management Group > Subscription. This is especially useful for large enterprises with many subscriptions.",FALSE,Azure explicitly supports nested Management Groups to enable centralized governance at scale. Saying they cannot be nested is incorrect.,,,,,,,,,1,"Management Groups can be nested, allowing organizations to apply policies and access controls consistently across multiple subscriptions.",Azure Management and Governance
"An organization is deploying multiple web applications using Azure App Service. They want to understand which Azure component provides the underlying compute resources (CPU, memory, scaling) for these apps. Which Azure service fulfills this role?",multiple-choice,Azure Virtual Machine,"While App Services run on virtual machines behind the scenes, you do not manage or host them directly on VMs. Not the correct abstraction level.",Azure App Service Plan,"An App Service Plan: Defines the compute resources (CPU, memory, storage). Determines pricing tier, scaling, and availability. Hosts one or more App Services (Web Apps, APIs, Mobile Apps). Multiple App Services can run on the same App Service Plan, sharing its resources.",Azure Resource Group,A Resource Group is a logical container for organizing resources. It does not provide compute resources.,Azure Dedicated Host,Provides dedicated physical servers for VMs. Not used for Azure App Services.,,,,,2,"Azure App Services run on an App Service Plan, which provides the compute resources and scaling capabilities.",Azure Architecture and Services
An organization wants to enforce standards across Azure resources using Azure Policy. Which of the following scenarios is NOT an appropriate use of Azure Policy?,multiple-choice,Blocking the deployment of virtual machines that use unapproved SKUs,Azure Policy can deny or audit the use of certain VM sizes or SKUs.,Ensuring all resources include mandatory tags like CostCenter or Owner,Azure Policy is commonly used to enforce tagging standards for cost allocation and governance.,Restricting a specific user from accessing a storage account,"Azure Policy is not used for user-specific access control. Access control for individuals is handled using: Azure RBAC (Role-Based Access Control) by assigning roles to users, groups, or service principals. Azure Policy focuses on resource configuration and compliance, not who can access a resource.",Limiting resource deployment to approved Azure regions,Azure Policy can restrict where resources are allowed to be created.,,,,,3,"Azure Policy enforces resource standards and compliance, while Azure RBAC controls who can access resources.",Azure Management and Governance
"A company is building a consumer-facing mobile application. Millions of end users need to sign up, sign in, and manage their own profiles using social identities (Google, Facebook) or local accounts. The users are not employees or partners. Which Azure service is designed for this scenario?",multiple-choice,Microsoft Entra ID (internal tenant),"Used for employees and internal users, not customers.",Microsoft Entra ID B2B,Designed for external partners and vendors collaborating with your organization—not customers.,Microsoft Entra ID B2C,"Microsoft Entra ID B2C is designed to: Manage customer identities (business-to-consumer). Support millions of external users. Provide customizable sign-up and sign-in experiences. Allow authentication using: Social identities (Google, Facebook, etc.) or Local username/password accounts. This makes it ideal for public-facing applications.",Azure RBAC,"Controls access to Azure resources, not customer authentication for applications.",,,,,3,"Azure B2C provides identity and access management for customer-facing applications, not employees or partners.",Azure Management and Governance
"An application needs to store large volumes of structured, non-relational data at the lowest possible cost. The data will be accessed using key–value lookups, and advanced querying or ultra-low latency is not required. Which Azure storage service is the most cost-effective choice for this scenario?",multiple-choice,Azure Blob Storage,"Optimized for unstructured data (images, videos, documents). Not intended for structured, key–value data models.",Azure Table Storage,"Azure Table Storage is: A NoSQL key–value storage service. Designed for structured, non-relational data. Very low cost compared to fully managed NoSQL databases. Ideal when you need scalability but not complex queries or strict latency guarantees. This makes it the cheapest NoSQL option for structured data in Azure.",Azure Cosmos DB,"Fully managed, globally distributed NoSQL database. Offers sub-millisecond latency and advanced querying. Much more expensive than Table Storage. Overkill for simple, cost-focused scenarios.",Azure Queue Storage,Designed for asynchronous message processing. Not meant for persistent structured data storage.,,,,,2,"If you need the lowest-cost NoSQL storage for structured, non-relational data, Azure Table Storage is the best choice.",Azure Architecture and Services
"An organization wants full control over the operating system, installed software, and configuration of its compute resources in Azure. They are willing to manage OS patching and maintenance themselves. Which Azure service best fits this requirement?",multiple-choice,Azure App Service,"This is a Platform as a Service (PaaS) offering. You deploy code, but do not manage the OS.",Azure Virtual Machines,"Azure Virtual Machines are a classic Infrastructure as a Service (IaaS) offering: You control the operating system (Windows/Linux). You manage patching, updates, and installed software. Azure manages the physical hardware and datacenter. This level of control is the defining characteristic of IaaS.",Azure Functions,This is a serverless (FaaS) service. There is no access to servers or operating systems.,Azure SQL Database,"This is a PaaS database service where Azure manages the OS, SQL engine, backups, and patching.",,,,,2,"Infrastructure as a Service (IaaS) provides maximum control over compute resources—and in Azure, this is best represented by Azure Virtual Machines.",Cloud Concepts
An administrator wants to deploy a virtual machine to a specific physical location within an Azure region to improve resiliency against datacenter failures. Which Azure feature allows you to control the physical placement of a VM within a region?,multiple-choice,Azure Region,"A region defines the geographic area (for example, East US, West Europe). It does not let you choose a specific datacenter within that region.",Availability Zones,"Availability Zones are: Physically separate datacenters within the same Azure region. Each zone has independent power, cooling, and networking. When you deploy a VM to a specific zone, you are effectively choosing which datacenter it runs in. This provides higher resilience against datacenter-level failures.",Availability Sets,Availability Sets distribute VMs across fault domains and update domains. You cannot choose the exact datacenter. Placement is handled automatically by Azure.,Spot Virtual Machines,Spot VMs are a pricing option using spare capacity. They have nothing to do with physical placement.,,,,,2,"If you need control over which physical datacenter your VM is deployed to within a region, use Availability Zones.",Azure Architecture and Services
A team is deciding between deploying their application on Azure Virtual Machines or Azure App Service. They want to understand what fundamentally separates these two service models. What is the key distinction between Platform as a Service (PaaS) and Infrastructure as a Service (IaaS)?,multiple-choice,The pricing model used by the service,Both PaaS and IaaS commonly use pay-as-you-go pricing. Pricing is not the primary distinction.,The level of control the customer has over the operating system and infrastructure,"The primary difference between PaaS and IaaS is who manages what: IaaS: You manage the OS, patches, runtime, and configuration. Azure manages the physical hardware. PaaS: Azure manages the OS, runtime, patching, and platform. You focus only on application code and data. This difference in control vs. convenience is the defining factor.",The geographic availability of the service,Both models are available across many Azure regions.,The maximum scalability supported by the service,Both PaaS and IaaS can scale; scalability is not what fundamentally separates them.,,,,,2,"PaaS reduces infrastructure management by abstracting the OS and platform, while IaaS gives you full control over them.",Cloud Concepts
