Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
An administrator wants to receive an alert whenever any new virtual machine is created in an Azure subscription. They need a service that can detect this event and trigger a notification. Which Azure service should they use?,multiple-choice,Azure Activity Log Alerts in Azure Monitor,"To get alerts when a new VM is created, you use: Azure Monitor -> Activity Log -> Create Alert Rule. The Activity Log captures management events such as: VM create, VM delete, Role assignment changes, Resource updates. Azure Monitor allows you to generate email, SMS, webhook, or ITSM alerts based on these events.",Azure Policy,Enforces compliance and can block VM creation but does not send alerts by itself.,Azure Resource Manager,This is the deployment engine — it does not provide alerting.,Azure Advisor,"Gives recommendations, not event-based alerts.",,,,,1,Use Azure Monitor Activity Log Alerts to be notified whenever management events—such as VM creation—occur in a subscription.,Azure Architecture and Services
"Some organizations operate in industries that require strict control over data residency, regulatory compliance, and government-specific security standards. Azure provides specially isolated cloud environments for these customers. What is the primary purpose of Azure Sovereign Regions?",multiple-choice,To offer discounted Azure services for startups and small businesses,Azure does not offer sovereign regions for pricing discounts.,To improve global network speed and reduce latency for public applications,"That is accomplished using Availability Zones, CDN, or regional deployment—not sovereign clouds.",To deliver Azure services in environments designed to meet government and national compliance requirements,"Azure Sovereign Regions—such as Azure Government, Azure Government Secret, and various national clouds—are built to meet: government regulations, strict data residency rules, compliance frameworks (e.g., FedRAMP, DoD IL5/6), isolation requirements beyond the public Azure cloud. These environments are physically and logically isolated from the standard Azure commercial cloud.",To host experimental Azure features before global rollout,Private Preview features are separate and not tied to sovereign regions.,,,,,3,"Azure Sovereign Regions exist to serve government and regulated organizations that require strict compliance, isolation, and guaranteed data residency.",Azure Architecture and Services
"Your company signs up for a Microsoft cloud service such as Microsoft 365 or Azure. As part of the onboarding process, Microsoft automatically creates a dedicated identity and directory instance for your organization. What is this dedicated directory instance called?",multiple-choice,Azure Subscription,"A subscription is for billing and resource allocation, not identity.",Azure Tenant,"When an organization signs up for any Microsoft cloud service, Microsoft automatically creates a: Dedicated Microsoft Entra ID directory instance. This instance is known as an: Azure Tenant (or Entra Tenant). It is: unique to the organization, isolated and secure, the identity foundation for authentication, users, groups, and applications.",Resource Group,Used for grouping Azure resources—not for identity or tenants.,Management Group,Used to organize multiple subscriptions—not an identity directory.,,,,,2,"An Azure Tenant is automatically created when an organization signs up for any Microsoft cloud service and acts as the trusted identity directory for users, apps, and authentication.",Azure Architecture and Services
A company wants to move its existing on-premises application to Azure with minimal changes to the code or architecture. They want the cloud environment to look and behave as closely as possible to their current infrastructure. Which cloud computing model is the easiest for this type of migration?,multiple-choice,Platform as a Service (PaaS),Requires modifying the application to fit platform services such as App Service or SQL Database.,Infrastructure as a Service (IaaS),"IaaS is the easiest migration path because it allows you to: Lift-and-shift your existing servers into Azure, Keep the same OS, configurations, and architecture, Avoid rewriting your application, Maintain full control of the VM environment. This makes IaaS ideal for quick cloud migration with minimal changes.",Function as a Service (FaaS),Requires rewriting the application into event-driven functions.,Serverless Compute,"Requires rearchitecting to stateless, event-driven workflows—far from lift-and-shift.",,,,,2,"If you want the fastest, least disruptive cloud migration, IaaS (lift-and-shift) is the simplest and most compatible method.",Azure Architecture and Services
"An organization undergoing a compliance audit needs official documentation that demonstrates Microsoft's security practices, compliance certifications, audit reports, penetration testing results, and white papers showing how Azure meets regulatory requirements. Which Microsoft resource provides this type of documentation?",multiple-choice,Microsoft Learn,Training and learning platform — not compliance documentation.,Azure Advisor,Provides optimization recommendations — not compliance reports.,Microsoft Service Trust Portal,"The Microsoft Service Trust Portal provides authoritative compliance and security documentation, including: Compliance reports (SOC, ISO, FedRAMP, PCI), Penetration test summaries, Audit reports, Security white papers, FAQs showing Microsoft’s compliance efforts, Data protection guides, Regulatory compliance materials. It is the official source for auditors, compliance teams, and regulators.",Azure Documentation Library,Explains how Azure services work — not official compliance evidence.,,,,,3,"Use the Microsoft Service Trust Portal to access Microsoft’s compliance certifications, audit reports, penetration testing results, and security documentation.",Azure Management and Governance
An organization wants to prevent unauthorized sign-ins even if a user’s password is compromised in a phishing attack. They decide to enable Multi-Factor Authentication (MFA) to add an additional layer of protection during login. How does MFA increase security in this scenario?,multiple-choice,"It requires a second authentication factor—such as a phone, authenticator app, or biometric—making stolen passwords alone insufficient to gain access.","Multi-Factor Authentication adds a second form of verification, meaning an attacker would need: The user’s password AND The user’s phone, authenticator app, or biometric scan. This dramatically reduces unauthorized access from password theft, phishing, brute-force attacks, or credential leaks.",It removes the need for passwords in the authentication process.,"Incorrect — that is passwordless authentication, not MFA.",It only improves convenience by reducing login prompts.,"Incorrect — MFA adds additional prompts for security, not convenience.",It forces users to reset their password each time they sign in.,Incorrect — MFA does not modify password policy.,,,,,1,"MFA improves security by requiring more than just a password—attackers must also possess a second factor, which greatly reduces unauthorized access.",Azure Architecture and Services
"A company relies on an Azure service that guarantees a certain level of uptime through a Service Level Agreement (SLA). One month, the service experiences more downtime than the SLA allows. What does Microsoft offer when an SLA is not met?",multiple-choice,A service credit is applied to the customer’s bill,"If Azure fails to meet its SLA: Microsoft provides financial service credits. The credit amount depends on the severity of the outage and the specific SLA. Credits reduce future bills, but Azure never refunds cash payments. This is standard across all Azure services with published SLAs.",The service becomes free for the rest of the year,No Azure service ever becomes permanently free because of an outage.,Azure automatically upgrades the customer to a higher tier,Microsoft does not upgrade tiers/services as compensation.,Nothing—Azure does not provide compensation for SLA violations,Incorrect — Azure does provide service credits when SLA targets are missed.,,,,,1,"If Azure does not meet its SLA, customers receive service credits, not refunds or free services.",Azure Architecture and Services
"You want to receive notifications when Azure experiences platform-wide or region-wide outages, maintenance events, or service disruptions—whether or not your own resources are directly affected. Which Azure feature alerts you about Azure platform issues and service incidents?",multiple-choice,Azure Activity Log,"Shows operations in your subscription (e.g., VM start/stop), not Azure-wide outages.",Azure Service Health,"Azure Service Health provides personalized alerts when Azure services experience: regional outages, service disruptions, planned maintenance, platform issues impacting your subscription. It includes: Service Issues (platform outages), Planned Maintenance, Health Advisories. This is the correct place to track Azure-wide problems, not just your resource-specific issues.",Azure Monitor Metrics,"Tracks performance metrics of your resources, not Azure platform health.",Azure Resource Graph,"Used to query your Azure resources, not service status.",,,,,2,"Use Azure Service Health to get alerts about Azure-wide outages, disruptions, and planned maintenance.",Azure Architecture and Services
"Microsoft releases a new Azure feature that is not yet publicly accessible. Only customers who have been specifically invited or approved are able to test it, and the service comes with no SLA or production support guarantees. What does it mean when an Azure service is in Private Preview?",multiple-choice,It is available to all Azure customers but cannot be used in production.,"This describes Public Preview, not Private Preview.",Only selected or approved customers are allowed to access the feature.,"A Private Preview service: Is limited to selected customers, Often requires an invitation or approval from Microsoft, Is not generally visible in the Azure Portal, Does not come with SLAs or production support, Is intended for early testing and feedback. This is the most restrictive stage of the Azure service lifecycle.",It is fully supported and ready for production workloads.,That is General Availability (GA).,Microsoft guarantees an SLA for the new feature during the preview period.,Preview services have no SLAs.,,,,,2,"In Private Preview, Azure services are accessible only to selected customers and are not yet production-ready.",Azure Architecture and Services
"An attacker directs massive amounts of traffic toward a company’s public-facing website, causing it to slow down and eventually stop responding to legitimate users. What is the primary goal of this type of attack?",multiple-choice,To overwhelm the service so legitimate users cannot access it,"A Distributed Denial of Service (DDoS) attack floods a service with traffic so that: resources are exhausted, servers cannot respond, legitimate users are denied access. The goal is disruption, not data theft or credential compromise.",To secretly steal sensitive application data,"This describes a data breach or SQL injection, not DDoS.",To guess administrator passwords through repeated login attempts,"That is a brute-force attack, not DDoS.",To trick users into revealing personal information,"That describes phishing, not DDoS.",,,,,1,A DDoS attack aims to disrupt availability by overwhelming systems with excessive traffic.,Azure Management and Governance
Your team is reviewing Azure services to understand which ones fall under the Infrastructure as a Service (IaaS) model. They identify several compute and networking components but want to confirm which service does not belong in the IaaS category. Which Azure service is not considered Infrastructure as a Service (IaaS)?,multiple-choice,Virtual Machine,"IaaS: Customers manage the OS, runtime, patches, and applications.",Virtual Network,IaaS: Provides network-level infrastructure for customer workloads.,Virtual Network Interface Card (NIC),IaaS: A compute/networking component attached to VMs; entirely infrastructure.,Azure Functions,"Azure Functions is a serverless compute service, part of the Functions-as-a-Service (FaaS) model. You do not manage: virtual machines, operating systems, networking, or infrastructure.",,,,,4,"Azure Functions = Serverless (FaaS), not IaaS. IaaS services require you to manage infrastructure components like VMs, networks, and OS layers.",Azure Architecture and Services
"When an Azure service or feature reaches General Availability (GA), it becomes fully supported and is covered by Microsoft’s standard support channels and SLAs.",multiple-choice,TRUE,"A service in General Availability (GA) means: It is fully released for production use, supported through all standard Microsoft support channels, includes SLAs, and is considered stable for enterprise workloads.",FALSE,Preview services do not include full support or SLAs.,,,,,,,,,1,GA (General Availability) = Production-ready + fully supported + covered by SLAs.,Azure Architecture and Services
"A company is organizing its Azure environment and needs a way to group resources together for billing, access control, and usage limits. They want to ensure all costs are tracked at a specific administrative level. What is an Azure Subscription?",multiple-choice,A container for organizing resource groups and virtual networks only,"Incorrect — subscriptions hold all Azure resources, not just networking items.",The billing boundary in Azure where all resource usage is charged and managed,"An Azure Subscription is: The billing boundary for Azure resources, a container that holds resource groups and services, and the level where quotas, spending, and access control are applied.",A user account that allows login to the Azure portal,"Incorrect — a user account belongs to a tenant, not a subscription.",A feature that automatically assigns resources to different departments,Incorrect — subscriptions do not automatically assign resources; administrators do this manually.,,,,,2,"An Azure Subscription defines billing, usage limits, and administration boundaries for all Azure resources.",Azure Management and Governance
Your company operates an online service that experiences heavy surges in traffic during product launches but much lower usage during normal business days. They are considering moving to the cloud to take advantage of automatic resource adjustment. Which two benefits does cloud elasticity provide? (Select two.),multi-select,The ability to automatically scale resources up during peak demand and scale down afterward,Elasticity allows systems to scale out when user load increases and scale in when demand decreases. This prevents overload.,Lower operational costs because you pay only for the capacity you actually use,"Elasticity lets you release unused capacity when demand falls, leading to cost efficiency compared to on-premises overprovisioning.",Guaranteed 100% uptime during all traffic spikes,"No cloud provider guarantees 100% uptime; elasticity improves performance, not absolute availability.",The ability to store unlimited data without any cost increases,"Elasticity applies to compute resources, not to free or unlimited storage.",,,,,"1,2",Elasticity enables automatic scaling based on demand and helps organizations save money by avoiding unnecessary overprovisioning.,Azure Architecture and Services
