Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A government agency must host highly sensitive workloads that cannot be placed on shared infrastructure. They require maximum control over security, compliance, and data governance. Which cloud deployment model best satisfies these requirements?",multiple-choice,Public Cloud,"Runs on shared infrastructure; not ideal for workloads requiring strict isolation. Compliance can be achieved, but the highest control is not available.",Private Cloud,"Ideal for sensitive data, dedicated infrastructure, and custom security controls. Commonly used by government agencies for maximum control.",Multi-Cloud,Refers to using services from multiple cloud providers; not a deployment model that guarantees data isolation by itself.,Hybrid Cloud,"Mixes on-premises and public cloud. Useful for flexibility, but may still involve shared infrastructure for some workloads.",,,,,2,"A private cloud provides dedicated infrastructure, offering the highest level of control, security, and compliance for sensitive workloads.",Cloud Concepts
"Under the cloud shared responsibility model, the cloud provider secures the physical datacenters, networking, and the underlying infrastructure. Who is responsible for protecting and securing the data that is stored inside cloud services?",multiple-choice,"The cloud provider, because they own and operate the datacenters","Incorrect — while they secure the platform, they do not manage your data or who can access it.","The customer, because they control the data and how it is used","In the shared responsibility model, customers are always responsible for data security, classification, encryption choices, and identity access.",No one — data security is automatically handled by the cloud,"Incorrect — cloud platforms provide tools, but customers must configure and secure their own data.","Both the customer and the cloud provider equally, regardless of service model","Incorrect — responsibility shifts depending on IaaS, PaaS, or SaaS, but data ownership always remains with the customer.",,,,,2,"In cloud computing, you are always responsible for securing and protecting your own data, regardless of the service model.",Azure Management and Governance
"When deploying virtual machines inside an Azure Availability Set, Azure automatically spreads them across multiple fault domains. What does a fault domain represent in Azure?",multiple-choice,A group of VMs that share the same operating system,"No – fault domains are about hardware, not software.",A set of hardware resources that share a common power source and network switch,A fault domain represents a physical rack of servers with a distinct power source and network switch to reduce the impact of hardware failures.,A region where disaster recovery backups are stored,"Incorrect — that relates to paired regions, not fault domains.",A logical grouping of subnets inside a virtual network,"Incorrect — that describes virtual network structure, not physical datacenter layout.",,,,,2,"A fault domain is a physical separation inside a datacenter that protects resources from rack, power, or network failures.",Azure Architecture and Services
"An Azure application is experiencing increased traffic. Instead of moving to a larger virtual machine size, the engineering team decides to add more identical VM instances behind a load balancer to handle the increased load. What type of scaling does this scenario represent?",multiple-choice,Vertical scaling,Means upgrading to a more powerful machine (adding CPU/RAM) rather than adding more instances.,Horizontal scaling,"Horizontal scaling means adding more instances of a resource (expanding out), commonly used in auto-scaling and load-balanced scenarios.",Diagonal scaling,"A hybrid concept combining vertical and horizontal scaling, but not what is happening in this specific scenario.",Performance tuning,"Related to optimizing software or configuration, not adding hardware capacity.",,,,,2,"Horizontal scaling increases capacity by adding more instances, while vertical scaling increases capacity by upgrading a single instance.",Cloud Concepts
A company relies on an online ordering system that must stay operational at all times. Even short periods of downtime could result in lost sales and damaged customer trust. How does high availability (HA) help protect the business from financial loss?,multiple-choice,By guaranteeing that no data will ever be lost,"This is data redundancy / backup. HA focuses on uptime and accessibility, not data preservation.",By keeping services running during failures so the business can continue generating revenue,"HA ensures applications remain accessible during hardware or datacenter failures, preventing lost sales and maintaining customer trust.",By eliminating the need for backups,"Incorrect — backups are still required to protect against accidental deletion, corruption, or ransomware.",By intentionally increasing downtime to perform system maintenance,The opposite of HA. HA reduces or eliminates downtime.,,,,,2,"High availability minimizes downtime, allowing businesses to continue generating revenue and avoid financial losses during failures.",Cloud Concepts
An organization wants to minimize storage costs and does not require cross-region replication. They only need multiple copies of their data stored within a single Azure datacenter. Which Azure Storage redundancy option provides the lowest cost?,multiple-choice,Zone-Redundant Storage (ZRS),Replicates data across multiple Availability Zones; more expensive than LRS.,Locally Redundant Storage (LRS),"LRS keeps three copies within a single datacenter. Since it doesn't replicate across zones or regions, it is the lowest-cost option.",Geo-Redundant Storage (GRS),Replicates data to a secondary region hundreds of miles away; much more expensive than LRS.,Geo-Zone-Redundant Storage (GZRS),"Combines ZRS and GRS for highest resilience, but is the most expensive redundancy tier.",,,,,2,Locally Redundant Storage (LRS) is the cheapest Azure redundancy option because it keeps multiple copies only within a single datacenter.,Azure Architecture and Services
Your organization manages several Azure subscriptions and wants to enforce governance rules—such as policy assignments and role-based access—across all of them from a single point of control. Which statement correctly describes Azure Management Groups?,multiple-choice,They allow you to organize subscriptions hierarchically and apply governance controls across all subscriptions within the same tenant.,"Management Groups provide a hierarchy to apply Azure Policy and RBAC at scale, ensuring governance is inherited down the tree.",They automatically combine resources from multiple subscriptions into a single billing account.,"Incorrect — billing is handled at the subscription or billing account level, not by management groups.",They are limited to one level and cannot contain other management groups.,Incorrect — management groups support up to six levels of hierarchy.,They allow subscriptions to belong to multiple management groups at the same time.,Incorrect — a subscription can belong to exactly one management group at a time.,,,,,1,Azure Management Groups enable centralized governance by applying policies and access controls across multiple subscriptions using a hierarchical structure.,Azure Management and Governance
A company operates its primary workloads in its on-premises datacenter but extends capacity into Azure only during seasonal spikes. This allows them to add temporary compute resources in the cloud while keeping most systems on-prem. What cloud deployment model does this represent?,multiple-choice,Public Cloud,Applies only when all workloads run entirely in the cloud. Primary workloads remain on-prem here.,Multi-Cloud,"Means using multiple cloud providers (e.g., Azure + AWS). This scenario uses Azure + on-prem.",Hybrid Cloud,"A Hybrid Cloud combines on-premises infrastructure with public cloud resources, commonly used for ""cloud bursting"" during peak demand.",Private Cloud,"Refers to infrastructure dedicated to one organization. This scenario uses Azure, which is a public cloud.",,,,,3,Using on-prem infrastructure while extending capacity to Azure during peak demand is known as a Hybrid Cloud deployment.,Cloud Concepts
"Your organization wants to lift-and-shift legacy applications into Azure. These applications require domain join, LDAP, NTLM, or Kerberos authentication, but the company does not want to deploy or maintain domain controllers in the cloud. Which Azure feature should they use?",multiple-choice,Microsoft Entra ID (Azure AD),"Azure AD provides cloud identity but does NOT provide classic domain join, Kerberos, or NTLM services.",Microsoft Entra Domain Services,Provides a managed domain with support for legacy protocols (NTLM/Kerberos) and domain join without managing domain controllers.,Azure Virtual Network Peering,Used for connecting virtual networks; unrelated to identity or domain authentication.,Azure DNS,Provides DNS hosting; does not offer identity or authentication services.,,,,,2,Microsoft Entra Domain Services provides classic Windows Active Directory capabilities in the cloud without requiring domain controllers.,Azure Architecture and Services
"An enterprise wants to ensure that all Azure resources follow internal standards such as required tags, approved regions, and cost controls. The IT team performs routine reviews of deployed resources to verify compliance. Which cloud concept does this activity represent?",multiple-choice,Reliability,"Focuses on system uptime and resiliency, not compliance or auditing practices.",Governance,"Governance involves defining policies, ensuring compliance, and monitoring resource usage to meet corporate standards.",Elasticity,Refers to automatically scaling resources based on demand; unrelated to compliance reviews.,Fault Tolerance,Describes systems designed to continue operating when hardware failures occur.,,,,,2,Cloud governance ensures that resources comply with organizational and regulatory requirements through policies and auditing.,Cloud Concepts
