Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which statement BEST characterizes beta testing?,multiple-choice,Defined procedures,"Incorrect: Beta testing is not strictly scripted. It is exploratory and usage-driven. Exam trap: confusing beta testing with formal, scripted acceptance testing.",Measurable process,"Incorrect: Metrics may be collected, but beta testing is not process-controlled. Focus is on real-world feedback, not measurement rigor. Exam trap: assuming all testing must be measurable.",Highly realistic,Correct: Performed by real users. Uses real environments and usage patterns. Captures issues missed in controlled test settings. Core defining characteristic of beta testing.,Causes recalls,"Incorrect: Recalls are a possible outcome, not a characteristic. Beta testing aims to prevent recalls. Exam trap: confusing consequence with definition.",,,,,3," Beta testing = real users + real environments + realistic usage. It is not fully scripted or process-heavy. If an option highlights realism of use, it is the correct one.",Introduction and Foundations
"In a transformation initiative, one role is accountable for eliciting stakeholder business needs, analyzing business problems, and defining solutions that enable change and deliver measurable business value. Who holds this responsibility?",multiple-choice,The management consultant,Incorrect: Often provides strategic advice or external expertise. Not accountable for continuous requirements engineering and solution definition. Exam trap: strategy advisory != business analysis role.,The business analyst,"Correct: Core responsibility is to identify stakeholder business needs, analyze business problems/opportunities, and define solutions that deliver value and enable change. This definition directly matches BA responsibilities in ISTQB / IQBBA.",The business consultant,Incorrect: Term is generic and not formally defined in this context. May advise on business improvements but lacks defined ownership of requirements and acceptance. Exam trap: vague role naming.,The project manager,"Incorrect: Responsible for planning, coordination, scope, time, and cost. Does not define business needs or solutions. Exam trap: confusing delivery management with solution definition.",,,,,2," Business Analysts identify business needs and define solutions that add value by enabling change. If the option mentions stakeholder needs, business problems, or value-driven change, the answer is Business Analyst.",Business Process and Business Rules Modeling
The ISTQB test process defines a set of structured activities that guide testing from preparation through completion. Which of the following groups of activities are all part of the formal test process?,multiple-choice,Test planning – Test strategy – Test completion,Incorrect: Test strategy is not a test process activity (it is an artifact or approach). Exam trap: mixing activities with documents.,Test monitoring – Test execution – Test design,"Correct: All three are official ISTQB test process activities. Test design defines cases; Test execution runs them; Test monitoring tracks progress, status, and deviations.",Test scenario – Test analysis – Test design,"Incorrect: Test scenario is a test work product, not a process activity. Exam trap: confusing artifacts with activities.",Test implementation – Test execution – Test report,"Incorrect: Test report is an output, not a test process activity. The activity is test reporting, not ""test report."" Exam trap: output vs activity wording.",,,,,2," ISTQB test process activities are verbs (planning, analysis, design, implementation, execution, monitoring, reporting, completion). Artifacts like strategy, scenario, or reports are NOT activities.",Introduction and Foundations
"In collaborative acceptance testing, testers and business analysts act as team players, contributing beyond pure technical activities. Which of the following accomplishments are testers and business analysts responsible for helping the team achieve?",multiple-choice,Establishing constant retrospective meetings to gather feedback from team members.,Incorrect: Retrospectives are typically facilitated by Scrum Masters or team leadership. Not a primary responsibility of testers or BAs. Exam trap: mixing agile ceremonies with collaboration skills.,"Defusing major problems using humor, positive communication, and appropriate negotiation techniques.","Correct: Testers and BAs are expected to act as collaborative facilitators. Soft skills help resolve conflicts between stakeholders, developers, and testers. Explicitly emphasized in collaborative acceptance testing.",Planning high-end software solutions to improve overall company efficiency.,Incorrect: This is an architectural or management responsibility. Not a tester or BA team-player accomplishment. Exam trap: confusing strategic planning with collaboration.,Providing tools and training required for team members to perform their roles.,"Incorrect: Typically handled by management or organizational enablement roles. Testers and BAs may contribute, but are not responsible.",,,,,2," In CT-AcT, testers and business analysts as team players are expected to communicate effectively, resolve conflicts constructively, and support collaboration/trust. If an option highlights soft skills, it is correct.",Collaborative Acceptance Testing
Business analysts (BAs) and testers collaboratively review acceptance criteria during refinement. Which statement describes the MAJOR advantage of this joint review for acceptance testing?,multiple-choice,"Reviewing acceptance criteria ensures that acceptance test cases fully cover all business processes, rules, and risks.","Incorrect: Coverage of all processes, rules, and risks is a goal, not the primary advantage. Requires additional techniques (risk-based, MBT). Exam trap: confusing outcome with core benefit.",A joint review guarantees that non-functional quality criteria are always included.,"Incorrect: Joint review does not guarantee inclusion of non-functional criteria; it only improves the likelihood. Exam trap: absolute wording (""ensures"", ""guarantees"").",Reviewing acceptance criteria primarily improves the quality of test reports.,"Incorrect: Test reports are produced after execution. Acceptance criteria review impacts test design, not reporting. Exam trap: mixing lifecycle phases.",A shared understanding of acceptance criteria between BA and tester enables more effective design of acceptance test cases.,Correct: The key benefit is shared vision and alignment. Reduces ambiguity and misinterpretation. Directly supports effective and efficient acceptance test design. Central principle of Collaborative Acceptance Testing.,,,,,4," When BAs and testers review acceptance criteria together, the primary advantage is shared understanding of business intent, which directly enables better acceptance test design.",Collaborative Acceptance Testing
ISO/IEC 25010 defines a Quality in Use model with specific sub-characteristics under its characteristics. Which element below is a sub-characteristic of Quality in Use according to the standard?,multiple-choice,Comfort,Correct: Sub-characteristic of Satisfaction in the Quality in Use model. Relates to the user’s physical and cognitive ease when using the system. Explicit ISO terminology.,Convenience,Incorrect: Common UX term but not defined in ISO/IEC 25010. Exam trap: everyday language vs standard terminology.,Validity,Incorrect: Not a Quality in Use sub-characteristic. Often confused with correctness or suitability.,Precision,Incorrect: Not used in ISO/IEC 25010 Quality in Use. Sometimes confused with accuracy.,,,,,1," For ISO/IEC 25010 – Quality in Use: Satisfaction includes Comfort, Trust, Pleasure, and Usefulness. Always choose exact ISO terms over reasonable-sounding UX synonyms.",Acceptance Testing for NonFunctional Requirements
"During acceptance discussions for a public-sector financial system, stakeholders focus on minimizing potential financial losses, penalties, or long-term economic harm. Which sub-characteristic directly addresses this concern?",multiple-choice,Adaptability,"Incorrect: Sub-characteristic of Portability (product quality). Relates to deployment environments, not risk.",Accuracy,"Incorrect: Sub-characteristic of Effectiveness (quality in use). Focuses on correctness of results, not economic consequences.",Economic risk mitigation,"Correct: Sub-characteristic of Freedom from risk. Addresses financial loss, penalties, and economic damage during use. Explicit ISO/IEC 25010 Quality in Use terminology.",Robustness,Incorrect: Not a defined ISO/IEC 25010 Quality in Use term. High-frequency exam trap using technical-sounding wording.,,,,,3," If a question mentions financial loss, penalties, or economic harm, the correct ISO 25010 sub-characteristic is Economic risk mitigation.",Acceptance Testing for NonFunctional Requirements
"According to ISO/IEC 25010, which of the following is a characteristic of the Quality in Use model?",multiple-choice,Compatibility,"Incorrect: Part of Product Quality, not Quality in Use. Focuses on coexistence and interoperability.",Usability,"Incorrect: Product Quality characteristic. Describes interface properties, not real-world usage results. High-frequency trap: usability != quality in use.",Efficiency,"Correct: Defined as a Quality in Use characteristic. Measures resources used (time, effort) to achieve goals in a real usage context.",Portability,Incorrect: Product Quality characteristic concerning deployment across environments.,,,,,3," Quality in Use characteristics are Effectiveness, Efficiency, Satisfaction, Freedom from risk, and Context coverage. Efficiency is often tested because it appears in both models with different definitions.",Acceptance Testing for NonFunctional Requirements
"ISO/IEC 25010 defines a Quality in Use model with a small, fixed set of exactly named characteristics. Which of the following characteristics is defined in the Quality in Use model?",multiple-choice,Engagement,Incorrect: Not an ISO/IEC 25010 term. Sounds UX-related but is non-standard wording.,Effectivity,"Incorrect: ISO term is Effectiveness, not Effectivity. High-frequency trap: near-correct wording.",Satisfaction,"Correct: One of the five Quality in Use characteristics. Covers usefulness, trust, pleasure, and comfort. Exact ISO wording.",Productivity,Incorrect: Not defined in ISO/IEC 25010. Sometimes confused with efficiency.,,,,,3," Memorize the exact five: Effectiveness, Efficiency, Satisfaction, Freedom from risk, and Context coverage. Near-synonyms like ""Effectivity"" or ""Productivity"" are always wrong.",Acceptance Testing for NonFunctional Requirements
"When using BPMN and DMN to support acceptance testing, certain modeling practices improve clarity and testability. Which option represents a good practice?",multiple-choice,Business rules modeling should be performed only by the product owner and testers.,Incorrect: Business rules modeling is collaborative. Excluding others reduces shared understanding.,Charts should be kept as simple as possible and structured into processes or sub-processes when needed.,Correct: Readability is critical for shared understanding. Decomposition reduces cognitive load and supports collaboration across roles. Core BPMN/DMN best practice.,Links to user stories and risks should always be embedded directly into the diagrams using annotations.,Incorrect: Overuse of annotations clutters diagrams. Traceability should usually exist outside the core model.,DMN graphical representations should primarily focus on listing requirements to be tested.,"Incorrect: DMN models decisions and rules, not test lists. Acceptance tests are derived from models later.",,,,,2, Clarity and simplicity are paramount in acceptance modeling. Use decomposition (sub-processes) to keep models readable and ensure they describe business behavior rather than technical technicalities.,Business Process and Business Rules Modeling
